title,year,rating,voting,duration,link
The Shawshank Redemption,1994,9.3,2900000.0,142,https://www.imdb.com/title/tt0111161/?ref_=chttp_t_1
The Godfather,1972,9.2,2000000.0,175,https://www.imdb.com/title/tt0068646/?ref_=chttp_t_2
The Dark Knight,2008,9.0,2900000.0,152,https://www.imdb.com/title/tt0468569/?ref_=chttp_t_3
The Godfather Part II,1974,9.0,1400000.0,202,https://www.imdb.com/title/tt0071562/?ref_=chttp_t_4
12 Angry Men,1957,9.0,876000.0,96,https://www.imdb.com/title/tt0050083/?ref_=chttp_t_5
Schindler's List,1993,9.0,1500000.0,195,https://www.imdb.com/title/tt0108052/?ref_=chttp_t_6
The Lord of the Rings: The Return of the King,2003,9.0,2000000.0,201,https://www.imdb.com/title/tt0167260/?ref_=chttp_t_7
Pulp Fiction,1994,8.9,2200000.0,154,https://www.imdb.com/title/tt0110912/?ref_=chttp_t_8
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,2000000.0,178,https://www.imdb.com/title/tt0120737/?ref_=chttp_t_9
"The Good, the Bad and the Ugly",1966,8.8,818000.0,178,https://www.imdb.com/title/tt0060196/?ref_=chttp_t_10
Forrest Gump,1994,8.8,2300000.0,142,https://www.imdb.com/title/tt0109830/?ref_=chttp_t_11
The Lord of the Rings: The Two Towers,2002,8.8,1800000.0,179,https://www.imdb.com/title/tt0167261/?ref_=chttp_t_12
Fight Club,1999,8.8,2400000.0,139,https://www.imdb.com/title/tt0137523/?ref_=chttp_t_13
Inception,2010,8.8,2600000.0,148,https://www.imdb.com/title/tt1375666/?ref_=chttp_t_14
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1400000.0,124,https://www.imdb.com/title/tt0080684/?ref_=chttp_t_15
The Matrix,1999,8.7,2100000.0,136,https://www.imdb.com/title/tt0133093/?ref_=chttp_t_16
Goodfellas,1990,8.7,1300000.0,145,https://www.imdb.com/title/tt0099685/?ref_=chttp_t_17
One Flew Over the Cuckoo's Nest,1975,8.7,1100000.0,133,https://www.imdb.com/title/tt0073486/?ref_=chttp_t_18
Se7en,1995,8.6,1800000.0,127,https://www.imdb.com/title/tt0114369/?ref_=chttp_t_19
Interstellar,2014,8.7,2100000.0,169,https://www.imdb.com/title/tt0816692/?ref_=chttp_t_20
It's a Wonderful Life,1946,8.6,503000.0,130,https://www.imdb.com/title/tt0038650/?ref_=chttp_t_21
Seven Samurai,1954,8.6,370000.0,207,https://www.imdb.com/title/tt0047478/?ref_=chttp_t_22
The Silence of the Lambs,1991,8.6,1600000.0,118,https://www.imdb.com/title/tt0102926/?ref_=chttp_t_23
Saving Private Ryan,1998,8.6,1500000.0,169,https://www.imdb.com/title/tt0120815/?ref_=chttp_t_24
City of God,2002,8.6,808000.0,130,https://www.imdb.com/title/tt0317248/?ref_=chttp_t_25
Life Is Beautiful,1997,8.6,749000.0,116,https://www.imdb.com/title/tt0118799/?ref_=chttp_t_26
The Green Mile,1999,8.6,1400000.0,189,https://www.imdb.com/title/tt0120689/?ref_=chttp_t_27
Terminator 2: Judgment Day,1991,8.6,1200000.0,137,https://www.imdb.com/title/tt0103064/?ref_=chttp_t_28
Star Wars: Episode IV - A New Hope,1977,8.6,1500000.0,121,https://www.imdb.com/title/tt0076759/?ref_=chttp_t_29
Back to the Future,1985,8.5,1300000.0,116,https://www.imdb.com/title/tt0088763/?ref_=chttp_t_30
Spirited Away,2001,8.6,862000.0,125,https://www.imdb.com/title/tt0245429/?ref_=chttp_t_31
The Pianist,2002,8.5,924000.0,150,https://www.imdb.com/title/tt0253474/?ref_=chttp_t_32
Parasite,2019,8.5,979000.0,132,https://www.imdb.com/title/tt6751668/?ref_=chttp_t_33
Psycho,1960,8.5,725000.0,109,https://www.imdb.com/title/tt0054215/?ref_=chttp_t_34
Gladiator,2000,8.5,1600000.0,155,https://www.imdb.com/title/tt0172495/?ref_=chttp_t_35
The Lion King,1994,8.5,1200000.0,88,https://www.imdb.com/title/tt0110357/?ref_=chttp_t_36
Spider-Man: Across the Spider-Verse,2023,8.6,388000.0,140,https://www.imdb.com/title/tt9362722/?ref_=chttp_t_37
Dune: Part Two,2024,8.6,481000.0,166,https://www.imdb.com/title/tt15239678/?ref_=chttp_t_38
The Departed,2006,8.5,1400000.0,151,https://www.imdb.com/title/tt0407887/?ref_=chttp_t_39
Léon: The Professional,1994,8.5,1300000.0,110,https://www.imdb.com/title/tt0110413/?ref_=chttp_t_40
American History X,1998,8.5,1200000.0,119,https://www.imdb.com/title/tt0120586/?ref_=chttp_t_41
Whiplash,2014,8.5,1000000.0,106,https://www.imdb.com/title/tt2582802/?ref_=chttp_t_42
The Prestige,2006,8.5,1500000.0,130,https://www.imdb.com/title/tt0482571/?ref_=chttp_t_43
Grave of the Fireflies,1988,8.5,315000.0,89,https://www.imdb.com/title/tt0095327/?ref_=chttp_t_44
Harakiri,1962,8.6,70000.0,133,https://www.imdb.com/title/tt0056058/?ref_=chttp_t_45
The Usual Suspects,1995,8.5,1200000.0,106,https://www.imdb.com/title/tt0114814/?ref_=chttp_t_46
Casablanca,1942,8.5,611000.0,102,https://www.imdb.com/title/tt0034583/?ref_=chttp_t_47
The Intouchables,2011,8.5,938000.0,112,https://www.imdb.com/title/tt1675434/?ref_=chttp_t_48
Cinema Paradiso,1988,8.5,286000.0,174,https://www.imdb.com/title/tt0095765/?ref_=chttp_t_49
Modern Times,1936,8.5,262000.0,87,https://www.imdb.com/title/tt0027977/?ref_=chttp_t_50
Rear Window,1954,8.5,527000.0,112,https://www.imdb.com/title/tt0047396/?ref_=chttp_t_51
Once Upon a Time in the West,1968,8.5,352000.0,166,https://www.imdb.com/title/tt0064116/?ref_=chttp_t_52
Alien,1979,8.5,961000.0,117,https://www.imdb.com/title/tt0078748/?ref_=chttp_t_53
